sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,63,19882.34754344575,13696.220390834873,7.374733760437722,7324324.948740201,9150.895049279565,20.9809366882119,8.0,5.0,0.8,ETD,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,64,18084.736280424917,11275.591686561083,7.217533683373284,3327025.058302138,7324.320030374983,27.553736957581567,8.0,5.0,1.6,ETD,SE,Field-Free,50000x,"same area as previous, huge drift, due to high current",4,30.0,
Fresh,LFP,65,20419.925259127474,11243.792596975942,7.295334025321738,14882000.29369955,8881.518574034251,18.79907253861421,8.0,5.0,0.8,ETD,SE,Field-Free,50000x,Different area,4,30.0,
Fresh,LFP,66,25432.844312087458,18090.349572176336,7.494824996614486,23545217.442278124,12830.790734523454,16.27382638674915,8.0,5.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,67,27552.127679584366,19301.94823838468,7.443682747889285,39124355.94430522,15356.386194026058,12.582341956072604,8.0,5.0,0.2,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,68,25534.803747679456,15443.027292907494,7.574794098562532,10644008.792831514,10485.235074620645,24.50934791154523,8.0,5.0,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,69,15259.168089289398,11201.927383235436,7.035492867535186,6060377.27676412,7689.261030867604,17.79014575765992,8.0,5.0,0.8,ETD,SE,Field-Free,50000x,"same as previous, going down in current",4,30.0,
Fresh,LFP,70,18551.953917852723,12850.046963954757,7.252519061106791,10511588.30348658,8425.672336247286,16.308447381238388,8.0,10.0,0.8,ETD,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,71,16438.08137311778,10905.57954626034,7.086120516703112,12081064.105713429,7977.8261222372885,13.285406987616684,8.0,15.0,0.8,ETD,SE,Field-Free,50000x,"Same are as previous, high voltage also causes drift",4,30.0,
Fresh,LFP,72,15355.408572478342,9233.903886144775,6.941692514385965,13106497.407580212,7657.869865956216,13.342148662669965,8.0,20.0,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,73,19666.766793652023,12948.883465438019,7.310609970912988,50309967.171279736,15920.288536789969,7.114079161412526,8.0,30.0,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,74,31008.116360483706,15019.53834031954,7.480265153185746,32692384.903968815,14836.884426478206,14.524933019589424,8.0,30.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,75,31751.401590217614,14151.807089583383,7.452739538847441,34145344.36877082,15786.399016245132,13.808598537848548,8.0,30.0,1.6,ETD,SE,Field-Free,50000x,same settings different area moving from beam history,4,30.0,
Fresh,LFP,76,31007.557088619018,13932.225707802672,7.43522789515618,21282755.42944641,16446.37408743796,12.133627124625706,8.0,30.0,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,77,13718.985888510726,8350.716409360788,6.7861680053907305,57061545.52060532,12656.13545649146,5.8518547516264245,8.0,30.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,78,18279.195240305282,14417.573816902055,7.144300132242184,6877191.856822592,8402.34675197014,17.446324924402507,8.0,10.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,79,22363.2227013717,16648.202058911957,7.36284293710423,7428916.154327972,9270.991810262187,21.38624822511945,8.0,10.0,1.6,ETD,SE,Field-Free,50000x,Different area,4,30.0,
Fresh,LFP,80,20419.97015328486,12837.43412000667,7.398307146601128,20942640.2402829,11201.510834469844,10.736561647736938,8.0,10.0,0.4,ETD,SE,Field-Free,50000x,Different area,4,30.0,
Fresh,LFP,81,19423.367404084158,9695.067209367613,7.110038281083173,20802460.68625667,8904.872006268974,14.348370670065338,8.0,15.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,82,23850.09300742574,13969.502749025898,7.513382371810942,10319699.247553002,9344.595758948102,19.89075484784699,8.0,15.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,83,22210.769928965554,11393.40168433648,7.310984670361399,12926939.50911978,10298.590846856332,14.350073883384477,8.0,20.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,84,19220.358509307964,10463.18679526497,7.191626410286174,21592226.34636715,10813.659218880093,11.150037856432629,8.0,20.0,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,85,17364.965318172442,10017.319815371018,7.1060781059694555,46140240.74260226,11638.991577098534,8.393085794330023,8.0,20.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
